cache_size,set_num,associativity,block_size,write_through,write_alloc,miss_rate
32768.0,256.0,1.0,128.0,0.0,1.0,0.6499
32768.0,256.0,1.0,128.0,1.0,0.0,0.6499
32768.0,512.0,1.0,64.0,0.0,1.0,0.9962
32768.0,512.0,1.0,64.0,1.0,0.0,0.9962
32768.0,1024.0,1.0,32.0,0.0,1.0,0.9964
32768.0,1024.0,1.0,32.0,1.0,0.0,0.9964
32768.0,2048.0,1.0,16.0,0.0,1.0,0.9966
32768.0,2048.0,1.0,16.0,1.0,0.0,0.9966
32768.0,128.0,2.0,128.0,0.0,1.0,0.6465
32768.0,128.0,2.0,128.0,1.0,0.0,0.6465
32768.0,256.0,2.0,64.0,0.0,1.0,0.9963
32768.0,256.0,2.0,64.0,1.0,0.0,0.9963
32768.0,512.0,2.0,32.0,0.0,1.0,0.9965
32768.0,512.0,2.0,32.0,1.0,0.0,0.9965
32768.0,1024.0,2.0,16.0,0.0,1.0,0.9967
32768.0,1024.0,2.0,16.0,1.0,0.0,0.9967
32768.0,64.0,4.0,128.0,0.0,1.0,0.6449
32768.0,64.0,4.0,128.0,1.0,0.0,0.6449
32768.0,128.0,4.0,64.0,0.0,1.0,0.9961
32768.0,128.0,4.0,64.0,1.0,0.0,0.9961
32768.0,256.0,4.0,32.0,0.0,1.0,0.9963
32768.0,256.0,4.0,32.0,1.0,0.0,0.9963
32768.0,512.0,4.0,16.0,0.0,1.0,0.9965
32768.0,512.0,4.0,16.0,1.0,0.0,0.9965
32768.0,32.0,8.0,128.0,0.0,1.0,0.6445
32768.0,32.0,8.0,128.0,1.0,0.0,0.6445
32768.0,64.0,8.0,64.0,0.0,1.0,0.9961
32768.0,64.0,8.0,64.0,1.0,0.0,0.9961
32768.0,128.0,8.0,32.0,0.0,1.0,0.9961
32768.0,128.0,8.0,32.0,1.0,0.0,0.9961
32768.0,256.0,8.0,16.0,0.0,1.0,0.9963
32768.0,256.0,8.0,16.0,1.0,0.0,0.9963
32768.0,16.0,16.0,128.0,0.0,1.0,0.6468
32768.0,16.0,16.0,128.0,1.0,0.0,0.6468
32768.0,32.0,16.0,64.0,0.0,1.0,0.9957
32768.0,32.0,16.0,64.0,1.0,0.0,0.9957
32768.0,64.0,16.0,32.0,0.0,1.0,0.9956
32768.0,64.0,16.0,32.0,1.0,0.0,0.9956
32768.0,128.0,16.0,16.0,0.0,1.0,0.9958
32768.0,128.0,16.0,16.0,1.0,0.0,0.9958
32768.0,8.0,32.0,128.0,0.0,1.0,0.6477
32768.0,8.0,32.0,128.0,1.0,0.0,0.6477
32768.0,16.0,32.0,64.0,0.0,1.0,0.9959
32768.0,16.0,32.0,64.0,1.0,0.0,0.9959
32768.0,32.0,32.0,32.0,0.0,1.0,0.9956
32768.0,32.0,32.0,32.0,1.0,0.0,0.9956
32768.0,64.0,32.0,16.0,0.0,1.0,0.9958
32768.0,64.0,32.0,16.0,1.0,0.0,0.9958
65536.0,512.0,1.0,128.0,0.0,1.0,0.6485
65536.0,512.0,1.0,128.0,1.0,0.0,0.6485
65536.0,1024.0,1.0,64.0,0.0,1.0,0.9962
65536.0,1024.0,1.0,64.0,1.0,0.0,0.9962
65536.0,2048.0,1.0,32.0,0.0,1.0,0.9964
65536.0,2048.0,1.0,32.0,1.0,0.0,0.9964
65536.0,4096.0,1.0,16.0,0.0,1.0,0.9966
65536.0,4096.0,1.0,16.0,1.0,0.0,0.9966
65536.0,256.0,2.0,128.0,0.0,1.0,0.6404
65536.0,256.0,2.0,128.0,1.0,0.0,0.6404
65536.0,512.0,2.0,64.0,0.0,1.0,0.9961
65536.0,512.0,2.0,64.0,1.0,0.0,0.9961
65536.0,1024.0,2.0,32.0,0.0,1.0,0.9963
65536.0,1024.0,2.0,32.0,1.0,0.0,0.9963
65536.0,2048.0,2.0,16.0,0.0,1.0,0.9965
65536.0,2048.0,2.0,16.0,1.0,0.0,0.9965
65536.0,128.0,4.0,128.0,0.0,1.0,0.6397
65536.0,128.0,4.0,128.0,1.0,0.0,0.6397
65536.0,256.0,4.0,64.0,0.0,1.0,0.9959
65536.0,256.0,4.0,64.0,1.0,0.0,0.9959
65536.0,512.0,4.0,32.0,0.0,1.0,0.9961
65536.0,512.0,4.0,32.0,1.0,0.0,0.9961
65536.0,1024.0,4.0,16.0,0.0,1.0,0.9963
65536.0,1024.0,4.0,16.0,1.0,0.0,0.9963
65536.0,64.0,8.0,128.0,0.0,1.0,0.6389
65536.0,64.0,8.0,128.0,1.0,0.0,0.6389
65536.0,128.0,8.0,64.0,0.0,1.0,0.9957
65536.0,128.0,8.0,64.0,1.0,0.0,0.9957
65536.0,256.0,8.0,32.0,0.0,1.0,0.9959
65536.0,256.0,8.0,32.0,1.0,0.0,0.9959
65536.0,512.0,8.0,16.0,0.0,1.0,0.9961
65536.0,512.0,8.0,16.0,1.0,0.0,0.9961
65536.0,32.0,16.0,128.0,0.0,1.0,0.6388
65536.0,32.0,16.0,128.0,1.0,0.0,0.6388
65536.0,64.0,16.0,64.0,0.0,1.0,0.9957
65536.0,64.0,16.0,64.0,1.0,0.0,0.9957
65536.0,128.0,16.0,32.0,0.0,1.0,0.9957
65536.0,128.0,16.0,32.0,1.0,0.0,0.9957
65536.0,256.0,16.0,16.0,0.0,1.0,0.9959
65536.0,256.0,16.0,16.0,1.0,0.0,0.9959
65536.0,16.0,32.0,128.0,0.0,1.0,0.6394
65536.0,16.0,32.0,128.0,1.0,0.0,0.6394
65536.0,32.0,32.0,64.0,0.0,1.0,0.9956
65536.0,32.0,32.0,64.0,1.0,0.0,0.9956
65536.0,64.0,32.0,32.0,0.0,1.0,0.9955
65536.0,64.0,32.0,32.0,1.0,0.0,0.9955
65536.0,128.0,32.0,16.0,0.0,1.0,0.9957
65536.0,128.0,32.0,16.0,1.0,0.0,0.9957
131072.0,1024.0,1.0,128.0,0.0,1.0,0.6454
131072.0,1024.0,1.0,128.0,1.0,0.0,0.6454
131072.0,2048.0,1.0,64.0,0.0,1.0,0.9962
131072.0,2048.0,1.0,64.0,1.0,0.0,0.9962
131072.0,4096.0,1.0,32.0,0.0,1.0,0.9964
131072.0,4096.0,1.0,32.0,1.0,0.0,0.9964
131072.0,8192.0,1.0,16.0,0.0,1.0,0.9966
131072.0,8192.0,1.0,16.0,1.0,0.0,0.9966
131072.0,512.0,2.0,128.0,0.0,1.0,0.6352
131072.0,512.0,2.0,128.0,1.0,0.0,0.6352
131072.0,1024.0,2.0,64.0,0.0,1.0,0.9962
131072.0,1024.0,2.0,64.0,1.0,0.0,0.9962
131072.0,2048.0,2.0,32.0,0.0,1.0,0.9964
131072.0,2048.0,2.0,32.0,1.0,0.0,0.9964
131072.0,4096.0,2.0,16.0,0.0,1.0,0.9966
131072.0,4096.0,2.0,16.0,1.0,0.0,0.9966
131072.0,256.0,4.0,128.0,0.0,1.0,0.6352
131072.0,256.0,4.0,128.0,1.0,0.0,0.6352
131072.0,512.0,4.0,64.0,0.0,1.0,0.996
131072.0,512.0,4.0,64.0,1.0,0.0,0.996
131072.0,1024.0,4.0,32.0,0.0,1.0,0.9962
131072.0,1024.0,4.0,32.0,1.0,0.0,0.9962
131072.0,2048.0,4.0,16.0,0.0,1.0,0.9964
131072.0,2048.0,4.0,16.0,1.0,0.0,0.9964
131072.0,128.0,8.0,128.0,0.0,1.0,0.6365
131072.0,128.0,8.0,128.0,1.0,0.0,0.6365
131072.0,256.0,8.0,64.0,0.0,1.0,0.9959
131072.0,256.0,8.0,64.0,1.0,0.0,0.9959
131072.0,512.0,8.0,32.0,0.0,1.0,0.9961
131072.0,512.0,8.0,32.0,1.0,0.0,0.9961
131072.0,1024.0,8.0,16.0,0.0,1.0,0.9963
131072.0,1024.0,8.0,16.0,1.0,0.0,0.9963
131072.0,64.0,16.0,128.0,0.0,1.0,0.6363
131072.0,64.0,16.0,128.0,1.0,0.0,0.6363
131072.0,128.0,16.0,64.0,0.0,1.0,0.9957
131072.0,128.0,16.0,64.0,1.0,0.0,0.9957
131072.0,256.0,16.0,32.0,0.0,1.0,0.9959
131072.0,256.0,16.0,32.0,1.0,0.0,0.9959
131072.0,512.0,16.0,16.0,0.0,1.0,0.9961
131072.0,512.0,16.0,16.0,1.0,0.0,0.9961
131072.0,32.0,32.0,128.0,0.0,1.0,0.6362
131072.0,32.0,32.0,128.0,1.0,0.0,0.6362
131072.0,64.0,32.0,64.0,0.0,1.0,0.9957
131072.0,64.0,32.0,64.0,1.0,0.0,0.9957
131072.0,128.0,32.0,32.0,0.0,1.0,0.9957
131072.0,128.0,32.0,32.0,1.0,0.0,0.9957
131072.0,256.0,32.0,16.0,0.0,1.0,0.9959
131072.0,256.0,32.0,16.0,1.0,0.0,0.9959
262144.0,2048.0,1.0,128.0,0.0,1.0,0.6452
262144.0,2048.0,1.0,128.0,1.0,0.0,0.6452
262144.0,4096.0,1.0,64.0,0.0,1.0,0.9962
262144.0,4096.0,1.0,64.0,1.0,0.0,0.9962
262144.0,8192.0,1.0,32.0,0.0,1.0,0.9964
