cache_size,set_num,associativity,block_size,write_through,write_alloc,latency,miss_rate
32768.0,64.0,1.0,512.0,0.0,1.0,943800.0,0.6046
32768.0,64.0,1.0,512.0,1.0,0.0,632500.0,0.601
32768.0,128.0,1.0,256.0,0.0,1.0,831500.0,0.532
32768.0,128.0,1.0,256.0,1.0,0.0,691500.0,0.66
32768.0,256.0,1.0,128.0,0.0,1.0,991800.0,0.6499
32768.0,256.0,1.0,128.0,1.0,0.0,805900.0,0.7744
32768.0,512.0,1.0,64.0,0.0,1.0,1473300.0,0.9962
32768.0,512.0,1.0,64.0,1.0,0.0,1029100.0,0.9976
32768.0,1024.0,1.0,32.0,0.0,1.0,1473300.0,0.9964
32768.0,1024.0,1.0,32.0,1.0,0.0,1029100.0,0.9982
32768.0,2048.0,1.0,16.0,0.0,1.0,1473400.0,0.9966
32768.0,2048.0,1.0,16.0,1.0,0.0,1029100.0,0.9982
32768.0,32.0,2.0,512.0,0.0,1.0,927300.0,0.5933
32768.0,32.0,2.0,512.0,1.0,0.0,634300.0,0.6028
32768.0,64.0,2.0,256.0,0.0,1.0,823200.0,0.5261
32768.0,64.0,2.0,256.0,1.0,0.0,692700.0,0.6612
32768.0,128.0,2.0,128.0,0.0,1.0,987300.0,0.6465
32768.0,128.0,2.0,128.0,1.0,0.0,806400.0,0.7747
32768.0,256.0,2.0,64.0,0.0,1.0,1474000.0,0.9963
32768.0,256.0,2.0,64.0,1.0,0.0,1029100.0,0.9973
32768.0,512.0,2.0,32.0,0.0,1.0,1473900.0,0.9965
32768.0,512.0,2.0,32.0,1.0,0.0,1029100.0,0.9979
32768.0,1024.0,2.0,16.0,0.0,1.0,1474000.0,0.9967
32768.0,1024.0,2.0,16.0,1.0,0.0,1029100.0,0.9979
32768.0,16.0,4.0,512.0,0.0,1.0,927500.0,0.5924
32768.0,16.0,4.0,512.0,1.0,0.0,636100.0,0.6044
32768.0,32.0,4.0,256.0,0.0,1.0,821700.0,0.523
32768.0,32.0,4.0,256.0,1.0,0.0,693900.0,0.6618
32768.0,64.0,4.0,128.0,0.0,1.0,991200.0,0.6449
32768.0,64.0,4.0,128.0,1.0,0.0,807300.0,0.7752
32768.0,128.0,4.0,64.0,0.0,1.0,1486300.0,0.9961
32768.0,128.0,4.0,64.0,1.0,0.0,1029100.0,0.997
32768.0,256.0,4.0,32.0,0.0,1.0,1486200.0,0.9963
32768.0,256.0,4.0,32.0,1.0,0.0,1029100.0,0.9976
32768.0,512.0,4.0,16.0,0.0,1.0,1486300.0,0.9965
32768.0,512.0,4.0,16.0,1.0,0.0,1029100.0,0.9976
32768.0,8.0,8.0,512.0,0.0,1.0,927500.0,0.5919
32768.0,8.0,8.0,512.0,1.0,0.0,639600.0,0.6081
32768.0,16.0,8.0,256.0,0.0,1.0,822200.0,0.5225
32768.0,16.0,8.0,256.0,1.0,0.0,696400.0,0.6648
32768.0,32.0,8.0,128.0,0.0,1.0,993300.0,0.6445
32768.0,32.0,8.0,128.0,1.0,0.0,808900.0,0.7769
32768.0,64.0,8.0,64.0,0.0,1.0,1490900.0,0.9961
32768.0,64.0,8.0,64.0,1.0,0.0,1029000.0,0.9969
32768.0,128.0,8.0,32.0,0.0,1.0,1490500.0,0.9961
32768.0,128.0,8.0,32.0,1.0,0.0,1028900.0,0.9974
