cache_size,set_num,associativity,block_size,write_through,write_alloc,latency,miss_rate
32768,64,1,512,0,1,943800,0.6046
32768,64,1,512,1,0,632500,0.601
32768,128,1,256,0,1,831500,0.532
32768,128,1,256,1,0,691500,0.66
32768,256,1,128,0,1,991800,0.6499
32768,256,1,128,1,0,805900,0.7744
32768,512,1,64,0,1,1473300,0.9962
32768,512,1,64,1,0,1029100,0.9976
32768,1024,1,32,0,1,1473300,0.9964
32768,1024,1,32,1,0,1029100,0.9982
32768,2048,1,16,0,1,1473400,0.9966
32768,2048,1,16,1,0,1029100,0.9982
32768,32,2,512,0,1,581000,0.3573
32768,32,2,512,1,0,632500,0.601
32768,64,2,256,0,1,723300,0.4556
32768,64,2,256,1,0,691700,0.6602
32768,128,2,128,0,1,1003500,0.6487
32768,128,2,128,1,0,806400,0.7749
32768,256,2,64,0,1,1474000,0.9963
32768,256,2,64,1,0,1029100,0.9973
32768,512,2,32,0,1,1473900,0.9965
32768,512,2,32,1,0,1029100,0.9979
32768,1024,2,16,0,1,1474000,0.9967
32768,1024,2,16,1,0,1029100,0.9979
32768,16,4,512,0,1,553100,0.3407
32768,16,4,512,1,0,633700,0.6022
32768,32,4,256,0,1,718800,0.4524
32768,32,4,256,1,0,692600,0.6611
32768,64,4,128,0,1,1001300,0.6472
32768,64,4,128,1,0,807400,0.7759
32768,128,4,64,0,1,1486200,0.9961
32768,128,4,64,1,0,1029100,0.997
32768,256,4,32,0,1,1486200,0.9963
32768,256,4,32,1,0,1029100,0.9976
32768,512,4,16,0,1,1486300,0.9965
32768,512,4,16,1,0,1029100,0.9976
32768,8,8,512,0,1,550800,0.3392
32768,8,8,512,1,0,634700,0.6032
32768,16,8,256,0,1,718300,0.452
32768,16,8,256,1,0,693900,0.6624
32768,32,8,128,0,1,1001500,0.6471
32768,32,8,128,1,0,809000,0.7775
32768,64,8,64,0,1,1490500,0.9959
32768,64,8,64,1,0,1028900,0.9968
32768,128,8,32,0,1,1490500,0.9961
32768,128,8,32,1,0,1028900,0.9974
32768,256,8,16,0,1,1490600,0.9963
32768,256,8,16,1,0,1028900,0.9974
32768,4,16,512,0,1,556600,0.3432
32768,4,16,512,1,0,641700,0.6102
32768,8,16,256,0,1,722700,0.4547
32768,8,16,256,1,0,701100,0.6696
32768,16,16,128,0,1,1006300,0.6498
32768,16,16,128,1,0,814200,0.7827
32768,32,16,64,0,1,1493000,0.9955
32768,32,16,64,1,0,1028900,0.9966
32768,64,16,32,0,1,1492700,0.9956
32768,64,16,32,1,0,1028900,0.9972
32768,128,16,16,0,1,1492800,0.9958
32768,128,16,16,1,0,1028900,0.9972
32768,2,32,512,0,1,562500,0.347
32768,2,32,512,1,0,643700,0.6122
32768,4,32,256,0,1,725200,0.4562
32768,4,32,256,1,0,703100,0.6716
32768,8,32,128,0,1,1007600,0.6504
32768,8,32,128,1,0,816100,0.7846
32768,16,32,64,0,1,1494400,0.9955
32768,16,32,64,1,0,1028900,0.9966
32768,32,32,32,0,1,1494100,0.9956
32768,32,32,32,1,0,1028900,0.9972
32768,64,32,16,0,1,1494200,0.9958
32768,64,32,16,1,0,1028900,0.9972
65536,128,1,512,0,1,932700,0.6017
65536,128,1,512,1,0,627700,0.5962
65536,256,1,256,0,1,814500,0.5296
65536,256,1,256,1,0,688500,0.657
65536,512,1,128,0,1,963700,0.6485
65536,512,1,128,1,0,805100,0.7736
65536,1024,1,64,0,1,1422700,0.9962
65536,1024,1,64,1,0,1029100,0.9976
65536,2048,1,32,0,1,1422700,0.9964
65536,2048,1,32,1,0,1029100,0.9982
65536,4096,1,16,0,1,1422800,0.9966
65536,4096,1,16,1,0,1029100,0.9982
65536,64,2,512,0,1,558900,0.3471
65536,64,2,512,1,0,628600,0.5971
65536,128,2,256,0,1,702000,0.448
65536,128,2,256,1,0,689500,0.658
65536,256,2,128,0,1,981400,0.6436
65536,256,2,128,1,0,805600,0.7741
65536,512,2,64,0,1,1422900,0.9961
65536,512,2,64,1,0,1029100,0.9974
65536,1024,2,32,0,1,1422800,0.9963
65536,1024,2,32,1,0,1029100,0.998
65536,2048,2,16,0,1,1422900,0.9965
65536,2048,2,16,1,0,1029100,0.998
65536,32,4,512,0,1,539200,0.3348
65536,32,4,512,1,0,630400,0.5989
65536,64,4,256,0,1,703900,0.4475
65536,64,4,256,1,0,690400,0.6589
65536,128,4,128,0,1,984700,0.6447
65536,128,4,128,1,0,806300,0.7748
65536,256,4,64,0,1,1450200,0.9959
65536,256,4,64,1,0,1029100,0.9972
65536,512,4,32,0,1,1450200,0.9961
65536,512,4,32,1,0,1029100,0.9978
65536,1024,4,16,0,1,1450300,0.9963
65536,1024,4,16,1,0,1029100,0.9978
65536,16,8,512,0,1,534200,0.3319
65536,16,8,512,1,0,631700,0.6002
65536,32,8,256,0,1,704000,0.4473
65536,32,8,256,1,0,691700,0.6602
65536,64,8,128,0,1,984600,0.6443
65536,64,8,128,1,0,807400,0.7759
65536,128,8,64,0,1,1463100,0.9957
65536,128,8,64,1,0,1029100,0.997
65536,256,8,32,0,1,1463100,0.9959
